[1] "Userchar,WindowSize,Slice,Model,Repeat,Accuracy_mean,Accuracy_sd,Kappa_mean,Kappa_sd,AccuracyHigh_mean,AccuracyHigh_sd,AccuracyLow_mean,AccuracyLow_sd"
[1] "BarChartLit,1000,3,rf,7,0.696666666666667,0.208729253423108,0.454945054945055,0.343149354203007,0.6,0.312694383988229,0.785714285714285,0.234093352440518"
[1] "BarChartLit,1000,3,regLogistic,7,0.603333333333333,0.202728304467084,0.232876926994574,0.398697974493427,0.6,0.224433443074713,0.607142857142857,0.377714413787009"
[1] "BarChartLit,1000,3,xgbTree,7,0.55,0.180020574955774,0.187912087912088,0.23897211809098,0.56,0.374759181934805,0.535714285714286,0.158233349502991"
[1] "BarChartLit,1000,3,svmLinear,7,0.63,0.175295165540092,0.31003996003996,0.283328413342404,0.64,0.319258399930097,0.607142857142857,0.153689815325691"
[1] "BarChartLit,1000,3,MajorityClass,8,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,8,0.663333333333333,0.161359961071627,0.247685647685648,0.367406738929607,0.6,0.291865011923638,0.714285714285714,0.355286179136498"
[1] "BarChartLit,1000,3,regLogistic,8,0.426666666666667,0.249839454623204,-0.117693972693973,0.362292832430717,0.4,0.272165526975909,0.428571428571428,0.351140028660777"
[1] "BarChartLit,1000,3,xgbTree,8,0.66,0.198014839199515,0.29476356976357,0.331968036908979,0.56,0.321570221580617,0.75,0.29658550700087"
[1] "BarChartLit,1000,3,svmLinear,8,0.643333333333333,0.154799751172161,0.197061272061272,0.402777623536577,0.68,0.229975844142138,0.607142857142857,0.312561407420876"
[1] "BarChartLit,1000,3,MajorityClass,9,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,9,0.616666666666667,0.28207782832858,0.319839963957611,0.46467895980464,0.56,0.398701596388782,0.678571428571428,0.326749029368871"
[1] "BarChartLit,1000,3,regLogistic,9,0.583333333333333,0.197671631940636,0.204255548373195,0.234025036892939,0.6,0.291865011923638,0.571428571428571,0.373943459980627"
[1] "BarChartLit,1000,3,xgbTree,9,0.526666666666667,0.127463381330667,0.136716224951519,0.13098050096506,0.52,0.226732016723284,0.535714285714286,0.307379630651382"
[1] "BarChartLit,1000,3,svmLinear,9,0.603333333333333,0.229572872316621,0.244731738849386,0.40374252013086,0.64,0.333999334663343,0.571428571428571,0.331770713747278"
[1] "BarChartLit,1000,3,MajorityClass,10,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,10,0.64,0.214188102400382,0.329270729270729,0.373107610651457,0.56,0.299499582637439,0.714285714285714,0.294186555442074"
[1] "BarChartLit,1000,3,regLogistic,10,0.52,0.201353445156876,0.0511904761904761,0.349028183265377,0.6,0.266926956300783,0.464285714285714,0.276812381374528"
[1] "BarChartLit,1000,3,xgbTree,10,0.54,0.146397058595561,0.161611721611722,0.265726717619517,0.52,0.317490157327751,0.571428571428571,0.281046527136917"
[1] "BarChartLit,1000,3,svmLinear,10,0.563333333333333,0.227953861478508,0.161630036630037,0.409033871391056,0.6,0.252487623459052,0.535714285714286,0.344895834724457"
[1] "BarChartLit,1000,4,MajorityClass,1,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,4,rf,1,0.7,0.179161283295523,0.392149517149517,0.345760132573762,0.64,0.266110531198626,0.75,0.162650012158089"
[1] "BarChartLit,1000,4,regLogistic,1,0.543333333333333,0.204908892732813,0.132177626295273,0.34039274301939,0.48,0.327051927013071,0.607142857142857,0.350466701044756"
[1] "BarChartLit,1000,4,xgbTree,1,0.593333333333333,0.195505043981536,0.213819513819514,0.407343138841935,0.56,0.332888592196871,0.642857142857143,0.238095238095238"
